run_name,Loss/average,Loss/batch,Rules/anyvalid,Rules/anyvalid_cnt,Rules/c2,Rules/c2_cnt,Rules/c3,Rules/c3_cnt,Speed/steps_per_sec,full_name,step,step/epoch
006-SiT_S_1-stream0_016M_all-Linear-velocity-None,0.5135517716407776,0.46893826127052307,0.4998372495174408,3071.0,0.09716796875,199.0,0.02294921875,47.0,16.666366577148438,006-SiT_S_1-stream0_016M_all-Linear-velocity-None/tensorboard_logs,1000000,1000000
007-SiT_S_1-stream0_16M_all-Linear-velocity-None,0.7921806573867798,0.7925354242324829,0.8468424677848816,5203.0,0.11865234375,243.0,0.72509765625,1485.0,13.036996841430664,007-SiT_S_1-stream0_16M_all-Linear-velocity-None/tensorboard_logs,1000000,1000000
008-SiT_S_1-stream1_6M_all-Linear-velocity-None,0.7962873578071594,0.7859287261962891,0.8854166865348816,5440.0,0.1142578125,234.0,0.775390625,1588.0,17.617639541625977,008-SiT_S_1-stream1_6M_all-Linear-velocity-None/tensorboard_logs,1000000,1000000
010-SiT_S_1-stream16M_all-Linear-velocity-None,0.7968835234642029,0.8303172588348389,0.87548828125,5379.0,0.109375,224.0,0.76318359375,1563.0,9.326360702514648,010-SiT_S_1-stream16M_all-Linear-velocity-None/tensorboard_logs,1000000,1000000
011-SiT_S_1-stream16M_heldout0-Linear-velocity-None,0.8042364716529846,0.8278319835662842,0.8701171875,5346.0,0.11083984375,227.0,0.7578125,1552.0,20.0396785736084,011-SiT_S_1-stream16M_heldout0-Linear-velocity-None/tensorboard_logs,1000000,1000000
012-SiT_S_1-stream1_6M_heldout0-Linear-velocity-None,0.801265299320221,0.8090839385986328,0.8863932490348816,5446.0,0.1240234375,254.0,0.77099609375,1579.0,19.949865341186523,012-SiT_S_1-stream1_6M_heldout0-Linear-velocity-None/tensorboard_logs,1000000,1000000
013-SiT_S_1-stream0_016M_heldout0-Linear-velocity-None,0.49443089962005615,0.5326834917068481,0.4568684995174408,2807.0,0.08056640625,165.0,0.0126953125,26.0,16.838747024536133,013-SiT_S_1-stream0_016M_heldout0-Linear-velocity-None/tensorboard_logs,1000000,1000000
014-SiT_S_1-stream0_16M_heldout0-Linear-velocity-None,0.8002429604530334,0.8437927961349487,0.8453776240348816,5194.0,0.12548828125,257.0,0.7119140625,1458.0,20.022506713867188,014-SiT_S_1-stream0_16M_heldout0-Linear-velocity-None/tensorboard_logs,1000000,1000000
015-SiT_B_1-stream0_016M_heldout0-Linear-velocity-None,0.4129086434841156,0.37584060430526733,0.52490234375,3225.0,0.09619140625,197.0,0.16064453125,329.0,8.258395195007324,015-SiT_B_1-stream0_016M_heldout0-Linear-velocity-None/tensorboard_logs,1000000,1000000
016-SiT_B_1-stream16M_heldout0-Linear-velocity-None,0.8014998435974121,0.7410916090011597,0.89599609375,5505.0,0.1103515625,226.0,0.7900390625,1618.0,8.964981079101562,016-SiT_B_1-stream16M_heldout0-Linear-velocity-None/tensorboard_logs,1000000,1000000
017-SiT_B_1-stream0_16M_heldout0-Linear-velocity-None,0.7757878303527832,0.7800114154815674,0.7805989384651184,4796.0,0.1787109375,366.0,0.56787109375,1163.0,8.938370704650879,017-SiT_B_1-stream0_16M_heldout0-Linear-velocity-None/tensorboard_logs,1000000,1000000
018-SiT_B_1-stream1_6M_heldout0-Linear-velocity-None,0.8011818528175354,0.8030402064323425,0.8922526240348816,5482.0,0.12890625,264.0,0.771484375,1580.0,8.968432426452637,018-SiT_B_1-stream1_6M_heldout0-Linear-velocity-None/tensorboard_logs,1000000,1000000
019-SiT_B_1-stream16M_all-Linear-velocity-None,0.7963899970054626,0.7294386625289917,0.8976237177848816,5515.0,0.119140625,244.0,0.78759765625,1613.0,7.41241979598999,019-SiT_B_1-stream16M_all-Linear-velocity-None/tensorboard_logs,1000000,1000000
020-SiT_B_1-stream0_16M_all-Linear-velocity-None,0.7775635719299316,0.7926786541938782,0.7942708134651184,4880.0,0.158203125,324.0,0.6083984375,1246.0,8.484095573425293,020-SiT_B_1-stream0_16M_all-Linear-velocity-None/tensorboard_logs,1000000,1000000
021-SiT_B_1-stream1_6M_all-Linear-velocity-None,0.7988086342811584,0.7763799428939819,0.87353515625,5367.0,0.11767578125,241.0,0.75634765625,1549.0,8.424180030822754,021-SiT_B_1-stream1_6M_all-Linear-velocity-None/tensorboard_logs,1000000,1000000
022-SiT_B_1-stream0_016M_all-Linear-velocity-None,0.4290969669818878,0.45325222611427307,0.4713541567325592,2896.0,0.10107421875,207.0,0.083984375,172.0,8.18418025970459,022-SiT_B_1-stream0_016M_all-Linear-velocity-None/tensorboard_logs,1000000,1000000
